data,temperatura
2026-04-27 09:53:51,13.16
2026-04-28 12:20:30,29.71
2026-04-28 12:20:32,20.32
2026-04-28 12:20:35,18.5
2026-04-28 12:46:26,22.81
2026-04-28 12:47:16,12.9
2026-05-15 13:27:58,17.02
2026-05-15 13:29:31,10.3
2026-05-15 13:34:58,14.04
2026-05-15 13:38:26,14.24
2026-05-15 13:40:33,10.68
2026-05-15 14:00:01,19.83
2026-05-15 14:00:01,14.63
2026-05-15 14:01:27,19.54
2026-05-15 14:05:30,16.86
2026-05-15 14:06:22,28.24
2026-05-15 14:07:21,25.92
2026-05-15 14:10:22,15.37
